 ,Label,Area,Mean,Min,Max,Angle,Length(micrometer,Length(mm),Random num,Random
,,,,,,,,,1.078772203,0.722793129
,,,,,,,,,1.163574574,1.340544773
,,,,,,,,,0.579869429,0.364764396
,,,,,,,,,0.468583662,1.498489211
,,,,,,,,,1.299163218,0.776404518
,,,,,,,,,1.546434086,0.877719208
,,,,,,,,,1.335756293,0.977990138
,,,,,,,,,0.762081536,1.062457067
,,,,,,,,,1.689634723,1.241984312
,,,,,,,,,0.878243736,0.708936562
,,,,,,,,,0.574794766,1.402011686
,,,,,,,,,0.819250782,0.920131705
,,,,,,,,,0.788683869,1.182257325
,,,,,,,,,0.707291037,0.603062258
,,,,,,,,,1.510832156,0.596060005
,,,,,,,,,0.549778265,1.206378015
,,,,,,,,,0.743210134,0.983805601
,,,,,,,,,1.307369899,0.709321467
,,,,,,,,,0.717638591,0.78631614
,,,,,,,,,0.510013525,0.738344454
,,,,,,,,,1.120083129,0.940260974
,,,,,,,,,0.918325642,1.086781665
,,,,,,,,,1.610937806,1.304133318
,,,,,,,,,0.592437148,0.930100931
,,,,,,,,,1.052962786,0.974524687
,,,,,,,,,1.160640785,1.420361425
,,,,,,,,,1.616329635,1.129911604
,,,,,,,,,1.01042284,0.859522645
,,,,,,,,,0.99559531,0.311671122
,,,,,,,,,0.638029821,0.827475734
,,,,,,,,,0.480318819,0.644016635
,,,,,,,,,0.911506564,1.123794369
,,,,,,,,,1.1996919,0.864234126
,,,,,,,,,0.965900605,1.002945443
,,,,,,,,,1.185102245,0.772184969
,,,,,,,,,0.991432501,0.873253528
,,,,,,,,,1.179710416,0.412976974
,,,,,,,,,0.744518445,0.47422787
,,,,,,,,,1.559160388,1.498680354
,,,,,,,,,1.543817463,1.239726597
,,,,,,,,,1.179512187,0.277396281
,,,,,,,,,0.415061829,0.826724908
,,,,,,,,,1.30717167,0.919469577
,,,,,,,,,1.019660312,1.254303879
,,,,,,,,,0.810052956,0.765679884
,,,,,,,,,1.312880665,1.036843562
,,,,,,,,,0.465887747,0.897564707
,,,,,,,,,0.821233072,0.748621343
,,,,,,,,,1.069217565,1.159867396
,,,,,,,,,1.069019336,0.181185833
,,,,,,,,,1.019739604,0.597636281
,,,,,,,,,0.61896019,0.735392864
,,,,,,,,,1.015616441,1.000392504
,,,,,,,,,1.153623478,0.894172571
,,,,,,,,,0.672719897,0.502065377
,,,,,,,,,1.607488621,1.001445427
,,,,,,,,,0.503749489,0.469216254
,,,,,,,,,1.429994365,1.10214152
,,,,,,,,,0.903537758,0.88240025
,,,,,,,,,0.69111555,0.709897842
,,,,,,,,,1.552143081,1.080180354
,,,,,,,,,1.410369693,0.921257617
,,,,,,,,,1.412748441,1.247517643
,,,,,,,,,0.808823936,1.097080155
,,,,,,,,,1.563442135,0.782061569
,,,,,,,,,1.270301074,0.903709435
,,,,,,,,,0.489595937,0.716432383
,,,,,,,,,0.902506967,1.012456449
,,,,,,,,,0.847954343,1.119007281
,,,,,,,,,1.525778623,0.644474855
,,,,,,,,,0.689371134,0.51476723
,,,,,,,,,1.131937224,1.701072113
